city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Dijon,47.3215806,5.0414701,2026-08-18,24.646250000000002,18.13,31.29,0.0,0.0,0.0,0.0,16.308,70.5,74.84,100.0,100.0,83.69200000000001,29.5,83.77120000000001
Dijon,47.3215806,5.0414701,2026-08-19,22.5675,17.21,29.02,0.0,0.0,0.0,0.0,25.56,61.375,83.92,100.0,100.0,74.44,38.625,86.4825
Dijon,47.3215806,5.0414701,2026-08-20,21.53875,15.48,28.06,0.0,0.0,0.0,0.0,24.768,70.5,87.76,100.0,100.0,75.232,29.5,86.80120000000001
Dijon,47.3215806,5.0414701,2026-08-21,16.63,14.04,21.66,0.0,0.0,0.0,0.0,14.868,86.25,86.64,100.0,100.0,85.132,13.75,85.8802
Eguisheim,48.0447968,7.3079618,2026-08-16,30.105,25.39,33.41,20.0,0.025,0.1,0.1,16.776,87.0,66.36000000000001,80.0,99.5,83.224,13.0,75.3804
Eguisheim,48.0447968,7.3079618,2026-08-17,22.51375,18.57,29.41,100.0,1.2650000000000001,3.46,10.120000000000001,8.676,93.5,82.36,0.0,49.39999999999999,91.324,6.5,49.310399999999994
Eguisheim,48.0447968,7.3079618,2026-08-18,23.32125,16.88,30.13,0.0,0.0,0.0,0.0,13.572000000000001,77.625,79.48,100.0,100.0,86.428,22.375,84.72429999999999
Eguisheim,48.0447968,7.3079618,2026-08-19,21.88875,15.3,29.33,23.0,0.0475,0.38,0.38,21.888,47.875,82.68,77.0,98.1,78.112,52.125,82.6577
Eguisheim,48.0447968,7.3079618,2026-08-20,20.8875,14.86,27.74,0.0,0.0,0.0,0.0,16.308,73.5,89.04,100.0,100.0,83.69200000000001,26.5,87.73120000000002
Eguisheim,48.0447968,7.3079618,2026-08-21,18.5075,15.07,23.11,0.0,0.0,0.0,0.0,9.756,78.25,92.44,100.0,100.0,90.244,21.75,88.9314
Gorges du Verdon,43.7496562,6.3285616,2026-08-16,24.682499999999997,19.4,27.83,100.0,0.7775,2.96,3.11,14.04,51.75,88.68,0.0,84.45,85.96000000000001,48.25,65.36000000000001
Gorges du Verdon,43.7496562,6.3285616,2026-08-17,23.3175,16.24,29.43,38.0,0.0,0.0,0.0,27.324,67.5,82.28,62.0,100.0,72.676,32.5,77.6016
Gorges du Verdon,43.7496562,6.3285616,2026-08-18,22.985,17.05,29.43,0.0,0.0,0.0,0.0,14.688,36.875,82.28,100.0,100.0,85.312,63.125,89.5277
Gorges du Verdon,43.7496562,6.3285616,2026-08-19,23.677500000000002,17.65,30.64,0.0,0.0,0.0,0.0,16.704,8.5,77.44,100.0,100.0,83.29599999999999,91.5,90.7116
Gorges du Verdon,43.7496562,6.3285616,2026-08-20,23.1625,18.43,29.66,85.0,0.17,0.63,1.36,16.2,65.5,81.36,15.0,93.2,83.8,34.5,67.198
Gorges du Verdon,43.7496562,6.3285616,2026-08-21,20.6375,17.86,26.73,0.0,0.0,0.0,0.0,9.9,68.75,93.08,100.0,100.0,90.1,31.25,90.05900000000001
Grenoble,45.1875602,5.7357819,2026-08-16,31.2825,25.02,35.65,100.0,0.7975,3.01,3.19,6.732,97.75,57.400000000000006,0.0,84.05,93.268,2.25,51.9868
Grenoble,45.1875602,5.7357819,2026-08-17,27.975,22.23,35.46,80.0,0.01625,0.13,0.13,10.908,81.0,58.16,20.0,99.35,89.092,19.0,62.06219999999999
Grenoble,45.1875602,5.7357819,2026-08-18,25.425,19.48,32.17,0.0,0.0,0.0,0.0,12.312,35.625,71.32,100.0,100.0,87.688,64.375,86.6023
Grenoble,45.1875602,5.7357819,2026-08-19,26.32375,19.28,34.54,0.0,0.0,0.0,0.0,5.976,21.625,61.84,100.0,100.0,94.024,78.375,85.7919
Grenoble,45.1875602,5.7357819,2026-08-20,25.11875,19.02,33.47,100.0,0.3625,2.54,2.9,8.784,71.5,66.12,0.0,85.5,91.216,28.5,57.457600000000006
Grenoble,45.1875602,5.7357819,2026-08-21,20.0325,17.96,24.65,100.0,0.1975,0.67,0.79,6.3,26.5,98.6,0.0,96.05,93.7,73.5,75.115
La Rochelle,46.159732,-1.1515951,2026-08-16,25.552500000000002,23.12,27.24,43.0,0.095,0.38,0.38,22.212,26.75,91.04,57.0,98.1,77.788,73.25,83.2458
La Rochelle,46.159732,-1.1515951,2026-08-17,23.0075,20.05,26.68,0.0,0.0,0.0,0.0,30.240000000000002,68.875,93.28,100.0,100.0,69.75999999999999,31.125,88.07249999999999
La Rochelle,46.159732,-1.1515951,2026-08-18,20.31875,18.84,21.51,0.0,0.0,0.0,0.0,25.416,22.125,86.04,100.0,100.0,74.584,77.875,91.05789999999999
La Rochelle,46.159732,-1.1515951,2026-08-19,20.15875,18.91,21.84,0.0,0.0,0.0,0.0,26.64,46.625,87.36,100.0,100.0,73.36,53.375,88.8815
La Rochelle,46.159732,-1.1515951,2026-08-20,18.45625,15.52,20.06,0.0,0.0,0.0,0.0,25.92,64.0,80.24,100.0,100.0,74.08,36.0,85.08
La Rochelle,46.159732,-1.1515951,2026-08-21,16.9575,15.33,18.0,0.0,0.0,0.0,0.0,23.436,78.75,72.0,100.0,100.0,76.564,21.25,81.3814
Le Havre,49.4938975,0.1079732,2026-08-16,22.305,20.13,23.85,0.0,0.0,0.0,0.0,25.596,80.75,95.4,100.0,100.0,74.404,19.25,87.9854
